76ZCQ,Pink,Honda,TODAY NVS50,2007,Moped,2011-10-22,Canterbury
76ZZG,Silver,Yamaha,JOG CV50,2006,Moped,2011-10-05,Tasman
7701K,Blue,Homebuilt,TRAILER DOMESTIC,1998,Trailer,2011-07-10,Waikato
7783L,Yellow,Briford,8 X 4 TRAILER,1999,Trailer,2011-07-27,Wellington
77WLL,Red,Harley Davidson,97 SPORTSTER,1996,Roadbike,2011-10-03,Central
77ZYS,Red,Yamaha,SCORPIO,2009,Roadbike,2011-09-04,Wellington
7829X,,,,0,,2011-09-01,Canterbury
78ZQG,Black,Moped,ARROW 50,2008,Moped,2011-09-27,Waitemata
7910J,White,Homebuilt,MISC,1989,Trailer,2011-10-09,Wellington
79899,Grey,Trailer,LOCAL,1969,Trailer,2011-11-18,Eastern
79PQD,Yellow,Homebuilt,MISC,1986,Trailer,2011-09-26,Eastern
79TYN,Silver,Piaggio,VESPA,1998,Roadbike,2011-10-24,Canterbury
79UBW,Black,Piaggio,TYPHOON,1999,Roadbike,2011-08-30,Auckland City
79WNE,Red,Honda,TRX350TMS,2005,All Terrain Vehicle,2011-07-08,Eastern
79YQD,Black,Yamaha,CV 50 JOG,2007,Moped,2011-08-11,Auckland City
79YRM,Black,Suzuki,AZ50,2007,Moped,2011-12-10,Wellington
79ZND,Blue,Moped,VMOTO MONZA,2008,Moped,2011-12-16,Auckland City
80NAX,Silver,Trailer,,1985,Trailer,2011-08-09,Waitemata
80PEB,Brown,Custombuilt,TRAILER,1985,Trailer,2011-12-14,Wellington
81ZEW,Red,Moped,SUNNY 50,2008,Moped,2011-06-28,Wellington
81ZFN,Black,Suzuki,AZ50UDK7,2008,Moped,2011-08-11,Canterbury
8225H,Green,Trailer,HOMEMADE,1981,Trailer,2011-08-27,Canterbury
82QCN,Grey,Homebuilt,MISC,1986,Boat Trailer,2011-12-01,Bay of Plenty
82TSZ,Blue,Suzuki,FZ50,1997,Moped,2011-11-27,Central
82ZPF,Black,Factory Built,HUONIAO,2008,Roadbike,2011-09-24,Northland
833HM,White,Trailer,LOCAL,1964,Trailer,2011-08-26,Waikato
8375W,Yellow,Briford,TRAILER,2001,Trailer,2011-07-08,Counties/Manukau
83WGF,Red,Honda,TRX450,2004,All Terrain Vehicle,2011-08-23,Eastern
841044,,Honda,ATV TRX420FM8,2005,Quad - Four Wheeler,2011-11-25,Bay of Plenty
8489N,Blue,Trailer,HOMEBUILT,1975,Trailer,2011-08-10,Central
848Z,Silver,Factory Built,BRENT SMITH TRAILERS,2001,Trailer,2011-11-15,Central
84EMB,Green,Trailer,LOCAL,1977,Trailer,2011-11-25,Counties/Manukau
84YFF,Green,Kawasaki,KLX,1993,Roadbike,2011-09-16,Wellington
84YPN,Black,Harley Davidson,FXST,2002,Roadbike,2011-10-17,Central
84ZBS,Grey,Hyosung,RALLY,2007,Moped,2011-07-08,Eastern
8535A,Grey,Homebuilt,LIGHT,1995,Boat Trailer,2011-11-02,Tasman
85J,Grey,Factory Built,TRAILER,1998,Boat Trailer,2011-11-25,Auckland City
878AL,Silver,Kea,K855A,2002,Trailer,2011-11-04,Counties/Manukau
87WFZ,Blue,Honda,SCV,2004,Roadbike,2011-09-19,Bay of Plenty
87ZNT,Green,Kawasaki,KLX,2008,Roadbike,2011-11-10,Wellington
8877F,Silver,Trailer,LOCAL,1997,Trailer,2011-09-12,Eastern
